Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SLS01G02140,2009.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02140,2010.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02140,2011.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02140,2012.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02140,2013.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02140,2014.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02140,2015.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02140,2016.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02140,2017.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02140,2018.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02140,2019.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02140,2020.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02140,2021.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02140,2022.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02140,2023.06,0,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02142,2009.06,1375,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SLS01G02142,2010.06,1481,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SLS01G02142,2011.06,1473,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SLS01G02142,2012.06,1633,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SLS01G02142,2013.06,1625,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SLS01G02142,2014.06,1678,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SLS01G02142,2015.06,1742,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SLS01G02142,2016.06,1772,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SLS01G02142,2017.06,1978,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SLS01G02142,2018.06,2041,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SLS01G02142,2019.06,2191,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SLS01G02142,2020.06,2156,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SLS01G02142,2021.06,2304,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SLS01G02142,2022.06,2237,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SLS01G02142,2023.06,2468,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SLS01G02143,2009.06,137,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SLS01G02143,2010.06,225,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SLS01G02143,2011.06,163,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SLS01G02143,2012.06,192,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SLS01G02143,2013.06,190,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SLS01G02143,2014.06,317,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SLS01G02143,2015.06,256,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SLS01G02143,2016.06,337,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Dividend income,,,,
